Strategy,K,TE_in,TE_out,Std_TE_in,Std_TE_out,Mean_Corr_in,Mean_Corr_out,Consistency,Returns_in,Returns_out,Comp_Time,Selected_Assets
LASSO,250,0.016082314681268563,0.04040015911822975,3.843668216773869e-06,2.3074779968115284e-05,0.4314830198709522,0.2324778996940871,0.024317844436961188,18.05771674180945,21.684790887838858,2.192253828048706,"AAPL,ABBV,ABNB,ABT,ACN,ADBE,ADI,ADM,AEP,AES..."
Elastic_Net,245,0.2464991858508148,0.29541217327184643,0.0010210858684809683,0.0015376088520214666,0.4304903573741253,0.2231948203771163,0.048912987421031645,12.774153556808642,12.362430748001895,1.4283485412597656,"A,AAPL,ABBV,ABNB,ABT,ACN,ADBE,ADI,ADM,ADP..."
Reweighted_L1,10,0.5350690099878095,0.4346853916227809,0.00491149062246003,0.002723388450130872,0.7063907969954915,0.48238843522700614,0.10038361836502857,31.225466086190835,17.72111007255155,2.1504974365234375,"AAPL,AMZN,GOOG,GOOGL,COST,META,MSFT,NFLX,NVDA,TSLA"
LASSO,250,0.016082314681268563,0.04040015911822975,3.843668216773869e-06,2.3074779968115284e-05,0.4314830198709522,0.2324778996940871,0.024317844436961188,18.05771674180945,21.684790887838858,1.9965438842773438,"AAPL,ABBV,ABNB,ABT,ACN,ADBE,ADI,ADM,AEP,AES..."
Elastic_Net,245,0.2464991858508148,0.29541217327184643,0.0010210858684809683,0.0015376088520214666,0.4304903573741253,0.2231948203771163,0.048912987421031645,12.774153556808642,12.362430748001895,1.6199755668640137,"A,AAPL,ABBV,ABNB,ABT,ACN,ADBE,ADI,ADM,ADP..."
Reweighted_L1,10,0.5350690099878095,0.4346853916227809,0.00491149062246003,0.002723388450130872,0.7063907969954915,0.48238843522700614,0.10038361836502857,31.225466086190835,17.72111007255155,2.2463576793670654,"AAPL,AMZN,GOOG,GOOGL,COST,META,MSFT,NFLX,NVDA,TSLA"
LASSO,250,0.016082314681268563,0.04040015911822975,3.843668216773869e-06,2.3074779968115284e-05,0.4314830198709522,0.2324778996940871,0.024317844436961188,18.05771674180945,21.684790887838858,1.8055672645568848,"AAPL,ABBV,ABNB,ABT,ACN,ADBE,ADI,ADM,AEP,AES..."
Elastic_Net,245,0.2464991858508148,0.29541217327184643,0.0010210858684809683,0.0015376088520214666,0.4304903573741253,0.2231948203771163,0.048912987421031645,12.774153556808642,12.362430748001895,1.4142632484436035,"A,AAPL,ABBV,ABNB,ABT,ACN,ADBE,ADI,ADM,ADP..."
Reweighted_L1,10,0.5350690099878095,0.4346853916227809,0.00491149062246003,0.002723388450130872,0.7063907969954915,0.48238843522700614,0.10038361836502857,31.225466086190835,17.72111007255155,2.4065239429473877,"AAPL,AMZN,GOOG,GOOGL,COST,META,MSFT,NFLX,NVDA,TSLA"
LASSO,250,0.016082314681268563,0.04040015911822975,3.843668216773869e-06,2.3074779968115284e-05,0.4314830198709522,0.2324778996940871,0.024317844436961188,18.05771674180945,21.684790887838858,1.9054434299468994,"AAPL,ABBV,ABNB,ABT,ACN,ADBE,ADI,ADM,AEP,AES..."
Elastic_Net,245,0.2464991858508148,0.29541217327184643,0.0010210858684809683,0.0015376088520214666,0.4304903573741253,0.2231948203771163,0.048912987421031645,12.774153556808642,12.362430748001895,1.6206579208374023,"A,AAPL,ABBV,ABNB,ABT,ACN,ADBE,ADI,ADM,ADP..."
Reweighted_L1,10,0.5350690099878095,0.4346853916227809,0.00491149062246003,0.002723388450130872,0.7063907969954915,0.48238843522700614,0.10038361836502857,31.225466086190835,17.72111007255155,2.136786699295044,"AAPL,AMZN,GOOG,GOOGL,COST,META,MSFT,NFLX,NVDA,TSLA"
LASSO,250,0.016082314681268563,0.04040015911822975,3.843668216773869e-06,2.3074779968115284e-05,0.4314830198709522,0.2324778996940871,0.024317844436961188,18.05771674180945,21.684790887838858,2.140021562576294,"AAPL,ABBV,ABNB,ABT,ACN,ADBE,ADI,ADM,AEP,AES..."
Elastic_Net,245,0.2464991858508148,0.29541217327184643,0.0010210858684809683,0.0015376088520214666,0.4304903573741253,0.2231948203771163,0.048912987421031645,12.774153556808642,12.362430748001895,1.7862441539764404,"A,AAPL,ABBV,ABNB,ABT,ACN,ADBE,ADI,ADM,ADP..."
Reweighted_L1,10,0.5350690099878095,0.4346853916227809,0.00491149062246003,0.002723388450130872,0.7063907969954915,0.48238843522700614,0.10038361836502857,31.225466086190835,17.72111007255155,2.229034185409546,"AAPL,AMZN,GOOG,GOOGL,COST,META,MSFT,NFLX,NVDA,TSLA"
LASSO,250,0.016082314681268563,0.04040015911822975,3.843668216773869e-06,2.3074779968115284e-05,0.4314830198709522,0.2324778996940871,0.024317844436961188,18.05771674180945,21.684790887838858,1.8542237281799316,"AAPL,ABBV,ABNB,ABT,ACN,ADBE,ADI,ADM,AEP,AES..."
Elastic_Net,245,0.2464991858508148,0.29541217327184643,0.0010210858684809683,0.0015376088520214666,0.4304903573741253,0.2231948203771163,0.048912987421031645,12.774153556808642,12.362430748001895,1.4901862144470215,"A,AAPL,ABBV,ABNB,ABT,ACN,ADBE,ADI,ADM,ADP..."
Reweighted_L1,10,0.5350690099878095,0.4346853916227809,0.00491149062246003,0.002723388450130872,0.7063907969954915,0.48238843522700614,0.10038361836502857,31.225466086190835,17.72111007255155,2.076308488845825,"AAPL,AMZN,GOOG,GOOGL,COST,META,MSFT,NFLX,NVDA,TSLA"
LASSO,250,0.016082314681268563,0.04040015911822975,3.843668216773869e-06,2.3074779968115284e-05,0.4314830198709522,0.2324778996940871,0.024317844436961188,18.05771674180945,21.684790887838858,1.7314045429229736,"AAPL,ABBV,ABNB,ABT,ACN,ADBE,ADI,ADM,AEP,AES..."
Elastic_Net,245,0.2464991858508148,0.29541217327184643,0.0010210858684809683,0.0015376088520214666,0.4304903573741253,0.2231948203771163,0.048912987421031645,12.774153556808642,12.362430748001895,1.4233670234680176,"A,AAPL,ABBV,ABNB,ABT,ACN,ADBE,ADI,ADM,ADP..."
Reweighted_L1,10,0.5350690099878095,0.4346853916227809,0.00491149062246003,0.002723388450130872,0.7063907969954915,0.48238843522700614,0.10038361836502857,31.225466086190835,17.72111007255155,1.9238688945770264,"AAPL,AMZN,GOOG,GOOGL,COST,META,MSFT,NFLX,NVDA,TSLA"
